File,Block_ID,Description,Runnable,Correct_Implementation,Redundant,Irrelevant,Error_Note
utils/lora.py,1-imports,Import statements and constants,Y,NA,N,N,
utils/lora.py,2-LoRAModule,LoRAModule class for low-rank adaptation,Y,Y,N,N,
utils/lora.py,3-LoRANetwork,LoRANetwork class for model adaptation,Y,Y,N,N,
utils/metrics.py,1-imports,Import statements and constants,Y,NA,N,N,
utils/metrics.py,2-data-prep,Data preparation functions for various benchmarks,Y,Y,N,N,
utils/metrics.py,3-accuracy-funcs,get_accuracy and get_accuracy_binary functions,Y,Y,N,N,
utils/metrics.py,4-benchmark-funcs,"get_wmdp_accuracy, get_mmlu_accuracy, get_hp_accuracy, get_truthfulqa",Y,Y,N,N,
trainscripts/erase.py,1-imports,Import statements,Y,NA,N,N,
trainscripts/erase.py,2-get_edit_vector,get_edit_vector function for computing ELM edit vectors,Y,Y,N,N,
trainscripts/erase.py,3-ELMLogits,ELMLogits class for guided generation,Y,Y,N,N,
trainscripts/erase.py,4-generate,generate function for ELM-guided text generation,Y,Y,N,N,
trainscripts/erase.py,5-prepare_prompts,prepare_prompts function for loading training data,Y,Y,N,N,
trainscripts/erase.py,6-utilities,moving_average function and prompt templates,Y,Y,N,N,
trainscripts/erase.py,7-train_elm_argparse,train_elm function and argument parsing configuration,Y,Y,N,N,
trainscripts/prepare_consistency_data.py,1-imports,Import statements,Y,NA,N,N,
trainscripts/prepare_consistency_data.py,2-ELMLogits,ELMLogits class (duplicate of erase.py),Y,Y,Y,N,
trainscripts/prepare_consistency_data.py,3-generate,generate function (duplicate of erase.py),Y,Y,Y,N,
trainscripts/prepare_consistency_data.py,4-prepare_prompts,prepare_prompts function (duplicate of erase.py),Y,Y,Y,N,
trainscripts/prepare_consistency_data.py,5-prompt_templates,Prompt templates (duplicate of erase.py),Y,Y,Y,N,
trainscripts/prepare_consistency_data.py,6-main_script,Main script logic for consistency data generation,Y,Y,N,N,
notebooks/inference.ipynb,cell-1-imports,Import statements,Y,NA,N,N,
notebooks/inference.ipynb,cell-2-model-loading,Model and tokenizer loading,Y,Y,N,N,
notebooks/inference.ipynb,cell-3-load-peft,load_peft function for loading trained PEFT models,Y,Y,N,N,
notebooks/inference.ipynb,cell-4-generate-text,generate_text function for inference,Y,Y,N,N,
notebooks/inference.ipynb,cell-5-example-inference,Example inference with test prompt,Y,Y,N,N,
